Countries;Regions
EU-ALB;WBAL
EU-AUT;AUT
EU-BEL;BEL
EU-BGR;BGR
EU-BIH;WBAL
EU-CHE;CHE
EU-CZE;CZE
EU-DEU;DEU
EU-ESP;ESP
EU-EST;EST
EU-FIN;FIN
EU-FRA;FRA
EU-GBR;GBR
EU-GRC;GRC
EU-HRV;HRV
EU-HUN;HUN
EU-IRL;IRL
EU-ISL;ISL
EU-LTU;BALT
EU-LVA;BALT
EU-MDA;MDA
EU-MKD;WBAL
EU-MNE;WBAL
EU-NLD;NLD
EU-POL;POL
EU-PRT;PRT
EU-ROU;ROU
EU-SRB;WBAL
EU-SVK;SVK
EU-SVN;SVN
EU-UKR;UKR
EU-DNK;DNK
EU-ITA;ITA
EU-NOR;NOR
EU-SWE;SWE
AF-DZA;ALG
AF-EGY;EGY
AF-LBY;LBY
AF-MAR;MAR
AF-TUN;TUN
AS-TUR;TUR
